impl_key,effect_slug,source_path,clause,role,aspect,resource,observed_text,implied_text,inference_kind,description,operator,value_si,si_unit,value_text,confidence,notes,updated
predicted:surface-plasmon-resonance:dies-above-plasma-edge,surface-plasmon-resonance,library/surface-plasmon-resonance.md,failure_mode,failure,speed,frequency,If the metal film is driven above its plasma / interband edge it becomes transmitting and the Kretschmann (or grating) reflectance dip should disappear in that same spectral window.,The interface-bound mode is the same electron population as the bulk mirror. Clock overrun that kills R also kills SPR.,envelope,A film that has gone plasma-transparent cannot host an SPR dip at that frequency.,min,,Hz,ω > ωp (or Ag optical edge),medium,Conjecture from collective-screening. Extracted SPR rows locate the thickness window not this spectral twin.,2026-08-17
predicted:surface-plasmon-resonance:island-film-no-dip,surface-plasmon-resonance,library/surface-plasmon-resonance.md,failure_mode,failure,scale,length,A percolated island metal film that is already transmitting in the visible should not produce a propagating-mode Kretschmann dip even if the nominal mass-thickness is tens of nanometres.,No connected screening buffer ⇒ no interface-bound collective mode. Localized particle plasmons if any are a different artifact.,envelope,Island films that starve the mirror also starve Kretschmann SPR.,max,1e-08,m,disconnected / below percolation,medium,Pairs with reflection thin-film / percolation. Localized Mie plasmons are not this prediction.,2026-08-17
predicted:skin-effect:same-n-kills-optical-and-rf,skin-effect,library/skin-effect.md,failure_mode,failure,capacity,node_count,Lowering the free-electron density until the optical plasma edge drops through the visible should also inflate the RF skin depth in the same sample.,Optical R and RF δ are two clocks on one carrier density. Starve n and both envelopes move together.,envelope,One n moves the optical edge and the classical skin depth together.,,,,same n for R(ω) and δ(ω),medium,Does not claim optical penetration equals √(2/ωμσ). Only that they share n.,2026-08-17
predicted:faraday-rotation:metal-collapses-above-edge,faraday-rotation,library/faraday-rotation.md,failure_mode,failure,speed,frequency,Magneto-optical Faraday rotation through a metal or doped plasma should collapse in the same spectral window where that medium goes plasma-transparent.,No collective screening population left to split n±.,envelope,Faraday in a free-electron medium dies with the plasma edge.,min,,Hz,ω > ωp,low,Supporting readout not a core spec. Low confidence: interband Faraday in insulators is a different channel.,2026-08-17
predicted:exchange-bias:no-hex-below-kv,exchange-bias,library/exchange-bias.md,failure_mode,failure,scale,volume,An FM grain already below the KV thermal-escape line should not hold a static Hex loop shift even if an AFM pin is present.,The pin writes a latch cell. If the cell is superparamagnetic there is nothing to pin on laboratory time.,envelope,Exchange-bias requires a thermally stable FM latch cell.,max,2.3e-26,m^3,FM grain KV ≲ 25 kT,medium,Conjecture from anisotropy-latch onto the pin. NdFeB ~30 nm is the parent number not a bilayer measurement.,2026-08-17
predicted:magnetostriction:no-static-lambda-when-unblocked,magnetostriction,library/magnetostriction.md,failure_mode,failure,scale,volume,A superparamagnetic grain should show no static saturation magnetostriction on laboratory time. Any λ would average toward zero with M.,Static ΔL is locked to a held M. No held M ⇒ no static λs.,envelope,The strain channel dies with the latch cell.,max,2.3e-26,m^3,KV ≲ 25 kT,medium,Dynamic / RMS magnetostriction is not this claim.,2026-08-17
predicted:ferroelectric-remanence:depolarization-kills-thin-pr,ferroelectric-remanence,library/ferroelectric-remanence.md,failure_mode,failure,scale,length,A ferroelectric film thinner than its depolarization / dead-layer envelope should lose usable remnant P even when T < Tc and the polar phase is still named.,The polar latch needs a volume that can stand the depolarization field. Below that the well is emptied.,envelope,Superparaelectric / depolarization collapse of Pr in thin films.,max,,m,thinner than the depolarization envelope,medium,Ec / depolarization are already an open mesoscale gap. This is the design talking before the number exists.,2026-08-17
predicted:flux-quantization:no-fluxoid-thinner-than-xi,flux-quantization,library/flux-quantization.md,failure_mode,failure,scale,length,A superconducting wire or constriction narrower than the coherence length should not hold a well-defined trapped fluxoid n Φ0.,The phase winding needs a condensate cross-section of order ξ. Starve that buffer and the integer is not a stable output.,envelope,Fluxoid hardware includes a ξ-class cross-section not just a closed loop.,max,,m,width ≲ ξ,medium,ξ is a material class (nm to μm). Conjecture from gapped-condensate.,2026-08-17
predicted:josephson-effect:lock-fails-above-gap-frequency,josephson-effect,library/josephson-effect.md,failure_mode,failure,speed,frequency,The AC Josephson lock should wash out once the drive frequency is no longer small compared with the gap frequency 2Δ/h of the electrodes.,The weak-link clock rides on the parent condensate. Overrun the gap clock and the lock is no longer a dissipationless pair current.,envelope,V–ν lock is not available above the gap frequency class.,min,,Hz,ν ≳ 2Δ/h,low,Gap frequency is ~10^11 Hz in conventional metals. High-frequency pair breaking is the guessed collapse.,2026-08-17
predicted:superconductivity:unpinned-vortices-kill-persistent-current,superconductivity,library/superconductivity.md,failure_mode,failure,threshold,other,A type-II loop with mobile vortices should not hold a laboratory-timescale persistent current even though T < Tc and H < Hc2.,R=0 after Hc1 is a pinning resource. Unpin the lattice and the persistent current decays by flux flow.,envelope,Persistent current requires pinned vortices in the mixed state.,,,,unpinned flux flow ⇒ I_persist dies,medium,Unpacks pinning-after-hc1 onto the persistent-current output.,2026-08-17
predicted:bose-einstein-condensate:no-fountain-in-dilute-cloud,bose-einstein-condensate,library/bose-einstein-condensate.md,failure_mode,failure,capacity,node_count,A dilute alkali BEC should not produce a thermomechanical fountain or a superleak viscosity collapse of the He-4 kind.,Fountain / superleak need a dense two-fluid ρs. Phase-space condensation is not that hardware.,envelope,Dilute BEC is not chargeless-superflow in disguise.,,,,no fountain / superleak,medium,Conjecture from chargeless-superflow downward.,2026-08-17
predicted:work-function-thermionic:same-face-same-phi,work-function-thermionic,library/work-function-thermionic.md,consistency_gap,gap,threshold,energy,A given crystal face with a given contamination state should show the same φ in photoemission threshold and in the Richardson plot to within the usual tenths-of-an-eV face scatter.,One surface gate opened by hν or by heat. If the two φ disagree beyond face scatter the shared-gate design is in tension.,envelope,Photoelectric and thermionic φ on the same face are one number.,approx,6.4e-19,J,same φ (2–6 eV class),medium,Library already says they share a class. This row conjectures a same-sample identity.,2026-08-17
predicted:photoconductivity:edge-equals-absorption-eg,photoconductivity,library/photoconductivity.md,failure_mode,failure,threshold,energy,In the same crystal the photocurrent onset and the optical absorption edge should sit at the same Eg except for known exciton / Urbach tails.,One gate read two ways. A large split is a different machine or a trap channel.,envelope,Photoconductive onset tracks the absorption edge.,eq,1.794e-19,J,same Eg (Si 1.12 eV as the pin),high,Close to extracted shared-Eg consistency; kept as a same-sample prediction.,2026-08-17
predicted:phonon-dispersion:soft-mode-before-tm,phonon-dispersion,library/phonon-dispersion.md,failure_mode,failure,speed,frequency,Approaching Tm (or a displacive structural transition) a zone-center or zone-boundary branch should soften before Bragg order is lost.,The grid’s allowed-clock table fails by mode softening not only by a sudden Tm jump.,open,Softening is a predicted precursor of grid loss. Not required at every melting point.,,,,ω → 0 on some branch as T → Tm,low,Many melts are first-order and skip a clean soft mode. Flagged low on purpose.,2026-08-17
predicted:thermal-conductivity-phonon:kappa-dies-at-tm,thermal-conductivity-phonon,library/thermal-conductivity-phonon.md,failure_mode,failure,threshold,temperature,Phonon thermal conductivity of the crystal should collapse or change discontinuously at Tm when the grid stops being a grid.,No crystalline mfp resource ⇒ no crystal κ. Liquid heat transport is a different channel.,envelope,Crystal phonon κ does not survive melting.,min,,K,T → Tm,medium,Obvious once the grid is one machine. Still a design-down claim not a library sentence.,2026-08-17
predicted:speed-of-sound:shear-dies-at-melt,speed-of-sound,library/speed-of-sound.md,failure_mode,failure,threshold,temperature,The shear speed should vanish at melting while a longitudinal liquid speed remains.,G → 0 is the elastic face of grid loss. No shear in a liquid is already extracted; this row pins that collapse to Tm.,relabel,Shear sound dies with the grid at Tm.,min,,K,T → Tm ⇒ vs shear → 0,high,Tightest of the grid-down conjectures.,2026-08-17
predicted:thermal-equilibrium-temperature:few-spin-no-stable-t,thermal-equilibrium-temperature,library/thermal-equilibrium-temperature.md,failure_mode,failure,capacity,node_count,A closed few-spin or few-mode system should not yield a stable thermometer reading independent of the observation window.,The average is not a law below a statistical buffer. No universal N; the prediction is the failure class not a number.,open,Few independent contributors ⇒ no stable T.,,,,scatter-dominated; no universal N,medium,Restates the family gap as a concrete negative experiment.,2026-08-17
predicted:ensemble-average:shot-noise-is-not-this-machine,, ,failure_mode,failure,capacity,node_count,A Poisson shot-noise floor that survives T → 0 at finite current is not the Nyquist / Brownian thermal average.,Shot noise is a count-of-events machine. Johnson–Nyquist is an ensemble average. Collapsing one should not be sold as collapsing the other.,envelope,Shot noise is a different machine and is not yet in the library.,,,,T-independent shot vs 4kTR,low,No effect file. effect_slug left null on purpose. Candidate tenth-adjacent artifact not a new design yet.,2026-08-17
predicted:exchange-bias:hex-gone-above-tb-while-fm-latched,exchange-bias,library/exchange-bias.md,failure_mode,failure,threshold,temperature,Above TB but still below the FM Tc the loop shift Hex should be gone while ordinary FM remanence remains.,The pin has thermally unlocked. The parent latch is still written. That split is the reason this is its own machine.,envelope,Hex dies at TB; Mr of the FM can survive.,min,,K,TB < T < Tc(FM),high,This is the design talking. Library already leans this way; the row makes the split an atomic prediction.,2026-08-17
predicted:ferromagnetic-hysteresis:unshifted-loop-without-afm,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,emergent_output,output,output,dimensionless,The same FM film without an AFM pin (or after the pin is destroyed) should show an unshifted loop with Hex ≈ 0.,Hex is not a property of the FM latch. Remove the second latch and the shift goes.,envelope,No pin ⇒ no loop shift.,approx,0.0,T,Hex → 0 without AFM,high,Downward claim from exchange-pin onto the FM hysteresis file.,2026-08-17
