impl_key,effect_slug,source_path,clause,role,aspect,resource,observed_text,implied_text,inference_kind,description,operator,value_si,si_unit,value_text,confidence,notes,updated
aharonov-bohm:clock_latency:coherence,aharonov-bohm,library/aharonov-bohm.md,clock_latency,requirement,latency,time,Decoherence faster than interferometer transit erases the shift.,"Clock is path coherence, not a plasma period.",envelope,Loss of phase coherence collapses the AB shift.,,,,coherence longer than transit,high,,2026-08-17
aharonov-bohm:consistency_gap:not-pair-quantum,aharonov-bohm,library/aharonov-bohm.md,consistency_gap,gap,output,charge,"The period is h/e, not h/2e.",Do not fold AB into gapped-condensate or identify the two quanta.,open,h/e versus h/2e is a load-bearing split.,,,,h/e ≠ h/2e,high,,2026-08-17
aharonov-bohm:emergent_output:h-over-e,aharonov-bohm,library/aharonov-bohm.md,emergent_output,output,output,other,Fringe shift periodic in Φ_AB = h/e = 4.135667e-15 Wb.,"Single-charge flux period, not superconducting h/2e.",relabel,The stable output is an h/e-periodic phase shift.,eq,4.135667e-15,Wb,Φ_AB = h/e,high,Contrast with flux-quantization Φ0=h/2e.,2026-08-17
aharonov-bohm:energy_barrier:no-latch,aharonov-bohm,library/aharonov-bohm.md,energy_barrier,requirement,threshold,b_field,Enclosed flux writes a phase. There is no static barrier holding a latched state.,"Driven interferometer, not a memory.",envelope,AB is not a latch.,,,,no latch; Φ writes a phase,high,,2026-08-17
aharonov-bohm:failure_mode:no-enclosure,aharonov-bohm,library/aharonov-bohm.md,failure_mode,failure,threshold,other,"A path that does not encircle the flux, or Φ→0, removes the shift.",Topology / zero flux is the collapse of this effect.,relabel,No enclosed flux ⇒ no AB shift.,,,,Φ=0 or path not enclosing,high,,2026-08-17
aharonov-bohm:hardware_scale:enclosing-loop,aharonov-bohm,library/aharonov-bohm.md,hardware_scale,requirement,scale,length,Two coherent paths that together enclose a confined flux. A simply connected path does not show the shift. B on the electron path can be made negligible.,The loop is the buffer. The solenoid interior is not the electron's hardware.,envelope,AB needs a multiply connected coherent path around a confined flux.,,,,closed coherent loop around Φ,high,,2026-08-17
antiferromagnetic-order:clock_latency:exchange,antiferromagnetic-order,library/antiferromagnetic-order.md,clock_latency,requirement,speed,frequency,"The protecting energy is exchange, set by kTN. The corresponding rate is far above ordinary ferromagnetic FMR.",There is no slow AFM write unless a spin-flop field or an exchange-bias field-cool is imposed. Macroscopic readout of the cancelled moment is not a hysteresis clock.,envelope,"Exchange, not the 28 GHz/T ferromagnetic carrier, sets the AFM protecting rate.",,,,exchange rate ≫ FMR; set by kTN,high,No numerical AFM resonance frequency is given in the file.,2026-08-17
antiferromagnetic-order:consistency_gap:sign-of-j,antiferromagnetic-order,library/antiferromagnetic-order.md,consistency_gap,gap,barrier,energy,The mapping takes the sign of the inter-sublattice coupling as data (the lattice and electronic structure that make J antiferromagnetic).,"QSA does not here derive why MnO is AFM and Fe is FM. That is a gap in the node rules, not a gap in the latch accounting.",open,"The AFM sign of J is taken, not produced from a more primitive node rule.",,,,sign of J taken,medium,File-level mapping remains High. Weak ferromagnetism/canting is not this gap.,2026-08-17
antiferromagnetic-order:emergent_output:cancelled-moment,antiferromagnetic-order,library/antiferromagnetic-order.md,emergent_output,output,output,dimensionless,Mnet ≈ 0 on the scale of a ferromagnet of the same sublattice magnetization. The sample exerts no useful permanent-magnet force.,"Cancelled net moment / ~0 force is the stable output of two opposed latches, not evidence that nothing is latched.",relabel,The cancelled latch emits approximately zero macroscopic force while the neutron superlattice remains.,approx,0.0,1,M_net ≈ 0 (no useful force),high,Weak canting in some compounds is a parasitic remainder; it does not convert the family into the permanent-magnet latch.,2026-08-17
antiferromagnetic-order:emergent_output:zero-hold-power,antiferromagnetic-order,library/antiferromagnetic-order.md,emergent_output,output,power,energy,Holding the ordered (cancelled) state costs zero continuous power. There is no hysteresis-heat bill at rest.,"A static antiparallel superlattice with Mnet ≈ 0, held at zero continuous power below TN.",relabel,Holding the cancelled latch costs zero watts.,eq,0.0,W,0 W hold,high,,2026-08-17
antiferromagnetic-order:energy_barrier:exchange,antiferromagnetic-order,library/antiferromagnetic-order.md,energy_barrier,requirement,barrier,energy,Exchange locks each sublattice against the other. Holding the ordered (cancelled) state costs zero continuous power. Mean-field TN ~ J identifies the exchange energy with the thermal cliff.,"The barrier is inter-sublattice exchange. The emergent dipole is ~0 because the two latches are opposed; cancelled force is the output, not a failure.",envelope,"A latch is a held configuration at zero hold-power, not a requirement of a nonzero dipole.",,,,exchange ~ kTN; zero hold-power,high,"TN ~ J is a fit to the thermal cliff, not a derivation of J from a node rule.",2026-08-17
antiferromagnetic-order:failure_mode:neel,antiferromagnetic-order,library/antiferromagnetic-order.md,failure_mode,failure,threshold,temperature,Handbook Néel points of the rock-salt monoxide class: MnO TN ≈ 118 K; FeO TN ≈ 198 K; NiO TN ≈ 523 K. Above TN the superlattice intensity is gone and the material is an ordinary paramagnet.,"Thermal over-barrier collapse of both sublattices → magnetic Bragg gone, Curie–Weiss paramagnet.",relabel,"The cancelled latch dies at TN, the analog of a ferromagnetic Curie point.",range,,K,"T > TN ≈ 118 K (MnO), 198 K (FeO), 523 K (NiO)",high,FeO is stoichiometry-sensitive. These are measured collapse temperatures of Bragg intensity and the susceptibility cusp.,2026-08-17
antiferromagnetic-order:failure_mode:spin-flop,antiferromagnetic-order,library/antiferromagnetic-order.md,failure_mode,failure,threshold,b_field,"Ordinary applied fields (well below a spin-flop / spin-flip field) do not rewrite AFM order into a net ferromagnet. Spin-flop fields, where measured, are tesla-class or larger in the monoxides.","A spin-flop field is a field write of the AFM configuration, not everyday ferromagnetic coercivity. Ordinary laboratory H is usually under that threshold.",envelope,Tesla-class fields can rewrite the relative sublattice orientation; ordinary lab fields do not make a permanent magnet.,,,T,spin-flop tesla-class or larger,medium,A given crystal’s spin-flop field is medium (anisotropy- and sample-dependent). No named-compound field is quoted.,2026-08-17
antiferromagnetic-order:hardware_scale:two-sublattices,antiferromagnetic-order,library/antiferromagnetic-order.md,hardware_scale,requirement,capacity,node_count,"Two-sublattice accounting: MA ≈ −MB, so Mnet ≈ 0. Each sublattice magnetization is of ordinary atomic-moment size. A single spin is not an antiferromagnet.","Hardware is two (or more) interpenetrating sublattices, each a directional latch, correlated over a volume large enough that exchange holds the antiparallel relation against kT.",relabel,"The cancelled latch requires at least two opposed ordered populations, not a single-moment cell.",min,2.0,1,≥ 2 sublattices,high,"Readable hardware is the magnetic superlattice (neutron / resonant x-ray / AFM-resonance), not a dipole field. Finite-size reduction of TN is noted without a portable KV.",2026-08-17
