design_key,impl_key,relation,strength,notes
collective-screening,reflection:hardware_scale:connected-film,entails,must,Own buffer.
collective-screening,reflection:clock_latency:plasma-period,entails,must,Own clock.
collective-screening,reflection:failure_mode:thin-film,entails,must,Buffer starvation.
collective-screening,reflection:emergent_output:zero-extra-power,entails,must,No extra hold-power.
collective-screening,reflection:consistency_gap:underived-delta,entails,must,Design commits to the gap being real.
collective-screening,skin-effect:hardware_scale:screening-delta,entails,must,Low-frequency face of the same buffer.
collective-screening,plasma-frequency-cutoff:clock_latency:plasma-period,entails,must,One plasma clock.
collective-screening,surface-plasmon-resonance:failure_mode:thickness-window,predicts,must,Sibling artifact of the same thickness cliff.
collective-screening,plasma-frequency-cutoff:failure_mode:above-omega-p,predicts,must,Sibling artifact of the same clock overrun.
collective-screening,predicted:surface-plasmon-resonance:dies-above-plasma-edge,predicts,should,Spectral twin: plasma-transparent film loses the SPR dip.
collective-screening,predicted:surface-plasmon-resonance:island-film-no-dip,predicts,must,Percolation starves Kretschmann SPR.
collective-screening,predicted:skin-effect:same-n-kills-optical-and-rf,predicts,should,One n moves R and δ together.
collective-screening,predicted:faraday-rotation:metal-collapses-above-edge,predicts,should,Magnetized readout dies with the population.
collective-screening,photoelectric-threshold:hardware_scale:single-electron,incompatible,must,N=1 is not this machine's hardware.
collective-screening,predicted:photoelectric-threshold:not-the-plasma-edge,predicts,must,φ is not ωp.
anisotropy-latch,permanent-magnet-latch:hardware_scale:latch-cell,entails,must,Grain is the cliff.
anisotropy-latch,permanent-magnet-latch:energy_barrier:anisotropy,entails,must,K1V.
anisotropy-latch,permanent-magnet-latch:failure_mode:curie,entails,must,Thermal cliff.
anisotropy-latch,permanent-magnet-latch:emergent_output:zero-hold-power,entails,must,
anisotropy-latch,permanent-magnet-latch:consistency_gap:mesoscale-coercivity,entails,must,Commits to the Hc gap.
anisotropy-latch,superparamagnetism:failure_mode:under-volume,predicts,must,Volume collapse of the same latch.
anisotropy-latch,superparamagnetism:energy_barrier:kv,entails,must,Same barrier written as KV.
anisotropy-latch,predicted:exchange-bias:no-hex-below-kv,predicts,should,A starved grain cannot be pinned.
anisotropy-latch,predicted:magnetostriction:no-static-lambda-when-unblocked,predicts,should,No held M ⇒ no static λ.
anisotropy-latch,curie-paramagnetism:energy_barrier:unlocked-no-latch,incompatible,must,Unlocked χ is not the latch barrier.
anisotropy-latch,predicted:curie-paramagnetism:chi-not-a-latch-spec,predicts,must,Named exclusion.
polar-latch,ferroelectric-remanence:hardware_scale:polar-volume,entails,must,
polar-latch,ferroelectric-remanence:energy_barrier:polar-well,entails,must,
polar-latch,ferroelectric-remanence:failure_mode:curie,entails,must,
polar-latch,ferroelectric-remanence:emergent_output:zero-hold-power,entails,must,
polar-latch,ferroelectric-remanence:consistency_gap:ec-depolarization,entails,must,Commits to the mesoscale gap.
polar-latch,ferroelectric-remanence:failure_mode:superparaelectric,predicts,must,Volume twin of KV collapse.
polar-latch,predicted:ferroelectric-remanence:depolarization-kills-thin-pr,predicts,should,Thin-film depolarization conjecture.
polar-latch,piezoelectricity:failure_mode:ferroelectric-tc,predicts,should,Strain channel dies with the polar phase.
gapped-condensate,superconductivity:emergent_output:zero-resistance,entails,must,
gapped-condensate,superconductivity:energy_barrier:spectroscopic-gap,entails,must,
gapped-condensate,superconductivity:failure_mode:above-tc,entails,must,
gapped-condensate,superconductivity:consistency_gap:pinning-and-xi,entails,must,
gapped-condensate,meissner:hardware_scale:lambda-buffer,entails,must,Owns λ.
gapped-condensate,flux-quantization:emergent_output:phi0,entails,must,
gapped-condensate,josephson-effect:hardware_scale:sis-window,entails,must,
gapped-condensate,meissner:failure_mode:thin-film,predicts,must,Starve λ ⇒ incomplete expulsion.
gapped-condensate,type-ii-critical-field:failure_mode:unpinned-flux-flow,predicts,must,Pinning is a resource.
gapped-condensate,predicted:flux-quantization:no-fluxoid-thinner-than-xi,predicts,should,Need a ξ-class cross-section.
