impl_key,design_key,membership,notes
reflection:hardware_scale:connected-film,collective-screening,core,Connected buffer
reflection:clock_latency:plasma-period,collective-screening,core,Collective clock
reflection:failure_mode:thin-film,collective-screening,core,Buffer starvation
reflection:failure_mode:above-plasma-edge,collective-screening,core,Clock overrun
reflection:emergent_output:phase-reversed-R,collective-screening,core,
reflection:emergent_output:zero-extra-power,collective-screening,core,
reflection:consistency_gap:underived-delta,collective-screening,core,δ taken
skin-effect:hardware_scale:screening-delta,collective-screening,core,Low-frequency length
skin-effect:clock_latency:magnetic-diffusion,collective-screening,core,
skin-effect:failure_mode:thin-conductor,collective-screening,core,
skin-effect:failure_mode:dc-fill,collective-screening,core,
skin-effect:emergent_output:ac-confinement,collective-screening,core,
skin-effect:consistency_gap:underived-sqrt-delta,collective-screening,core,
plasma-frequency-cutoff:hardware_scale:connected-film,collective-screening,core,
plasma-frequency-cutoff:clock_latency:plasma-period,collective-screening,core,
plasma-frequency-cutoff:failure_mode:above-omega-p,collective-screening,core,Primary clock-failure artifact
plasma-frequency-cutoff:emergent_output:spectral-edge,collective-screening,core,
surface-plasmon-resonance:hardware_scale:kretschmann-window,collective-screening,core,Interface-bound mode
surface-plasmon-resonance:hardware_scale:dielectric-tail,collective-screening,core,
surface-plasmon-resonance:failure_mode:thickness-window,collective-screening,core,
surface-plasmon-resonance:failure_mode:momentum-mismatch,collective-screening,core,
surface-plasmon-resonance:emergent_output:r-dip,collective-screening,core,
reflection:energy_barrier:no-latch,collective-screening,supporting,Driven not latched
refraction-dielectric:hardware_scale:path-wavelength,collective-screening,supporting,Bound-charge twin
refraction-dielectric:emergent_output:snell-n,collective-screening,supporting,
refraction-dielectric:failure_mode:epsilon-to-one,collective-screening,supporting,
total-internal-reflection:hardware_scale:evanescent-tail,collective-screening,supporting,
total-internal-reflection:failure_mode:below-critical-angle,collective-screening,supporting,
total-internal-reflection:emergent_output:unit-r,collective-screening,supporting,
faraday-rotation:hardware_scale:path-l,collective-screening,supporting,Magnetized readout
faraday-rotation:failure_mode:b-to-zero,collective-screening,supporting,
faraday-rotation:emergent_output:verdet,collective-screening,supporting,
cyclotron-resonance:clock_latency:omega-c,collective-screening,supporting,
cyclotron-resonance:failure_mode:omega-c-tau,collective-screening,supporting,
cyclotron-resonance:hardware_scale:skin-recut,collective-screening,supporting,
cyclotron-resonance:emergent_output:m-star,collective-screening,supporting,
photoelectric-threshold:hardware_scale:single-electron,collective-screening,contrast,N=1 on the same surface
photoelectric-threshold:energy_barrier:work-function,collective-screening,contrast,Not ωp
photoelectric-threshold:failure_mode:under-threshold,collective-screening,contrast,
photoelectric-threshold:consistency_gap:underived-phi,collective-screening,contrast,
permanent-magnet-latch:hardware_scale:latch-cell,anisotropy-latch,core,
permanent-magnet-latch:hardware_scale:macro-moment,anisotropy-latch,core,Capacity not a second cliff
permanent-magnet-latch:clock_latency:larmor,anisotropy-latch,core,
permanent-magnet-latch:energy_barrier:anisotropy,anisotropy-latch,core,
permanent-magnet-latch:failure_mode:curie,anisotropy-latch,core,
permanent-magnet-latch:failure_mode:superparamagnetic-volume,anisotropy-latch,core,
permanent-magnet-latch:failure_mode:lattice-shock,anisotropy-latch,core,
permanent-magnet-latch:emergent_output:zero-hold-power,anisotropy-latch,core,
permanent-magnet-latch:consistency_gap:mesoscale-coercivity,anisotropy-latch,core,
superparamagnetism:hardware_scale:latch-cell,anisotropy-latch,core,Owns the volume collapse
superparamagnetism:energy_barrier:kv,anisotropy-latch,core,
superparamagnetism:failure_mode:under-volume,anisotropy-latch,core,
superparamagnetism:emergent_output:zero-hold-power,anisotropy-latch,core,
ferromagnetic-hysteresis:energy_barrier:anisotropy,anisotropy-latch,core,Write/erase
ferromagnetic-hysteresis:failure_mode:soft-limit,anisotropy-latch,core,
ferromagnetic-hysteresis:failure_mode:curie,anisotropy-latch,core,
ferromagnetic-hysteresis:emergent_output:remanent-branch,anisotropy-latch,core,
ferromagnetic-hysteresis:emergent_output:zero-hold-power,anisotropy-latch,core,
ferromagnetic-hysteresis:consistency_gap:mesoscale-hc,anisotropy-latch,core,
shape-anisotropy:hardware_scale:nonzero-delta-n,anisotropy-latch,core,Geometry barrier
shape-anisotropy:energy_barrier:magnetostatic,anisotropy-latch,core,
shape-anisotropy:failure_mode:aspect-ratio,anisotropy-latch,core,
shape-anisotropy:emergent_output:zero-hold-power,anisotropy-latch,core,
magnetic-domains:hardware_scale:wall-width,anisotropy-latch,core,
magnetic-domains:failure_mode:single-domain,anisotropy-latch,core,
magnetic-domains:failure_mode:saturation,anisotropy-latch,core,
magnetic-domains:emergent_output:zero-hold-power,anisotropy-latch,core,
magnetic-domains:consistency_gap:pattern-pinning,anisotropy-latch,core,
magnetostriction:hardware_scale:moment-plus-lattice,anisotropy-latch,supporting,Lattice face of M
magnetostriction:failure_mode:curie,anisotropy-latch,supporting,
magnetostriction:failure_mode:lattice-shock,anisotropy-latch,supporting,
magnetostriction:emergent_output:lambda-s-class,anisotropy-latch,supporting,
antiferromagnetic-order:hardware_scale:two-sublattices,anisotropy-latch,supporting,Cancelled latch
antiferromagnetic-order:failure_mode:neel,anisotropy-latch,supporting,
antiferromagnetic-order:emergent_output:cancelled-moment,anisotropy-latch,supporting,Output ≈ 0 force
antiferromagnetic-order:emergent_output:zero-hold-power,anisotropy-latch,supporting,
curie-paramagnetism:hardware_scale:unlocked-population,anisotropy-latch,contrast,
curie-paramagnetism:energy_barrier:unlocked-no-latch,anisotropy-latch,contrast,
curie-paramagnetism:failure_mode:order-lock,anisotropy-latch,contrast,
curie-paramagnetism:emergent_output:curie-chi,anisotropy-latch,contrast,
ferroelectric-remanence:hardware_scale:polar-volume,polar-latch,core,
ferroelectric-remanence:energy_barrier:polar-well,polar-latch,core,
ferroelectric-remanence:failure_mode:curie,polar-latch,core,
ferroelectric-remanence:failure_mode:superparaelectric,polar-latch,core,
ferroelectric-remanence:emergent_output:remanent-p,polar-latch,core,
ferroelectric-remanence:emergent_output:zero-hold-power,polar-latch,core,
ferroelectric-remanence:consistency_gap:ec-depolarization,polar-latch,core,
piezoelectricity:hardware_scale:inversion-free-lattice,polar-latch,supporting,Strain channel
piezoelectricity:failure_mode:ferroelectric-tc,polar-latch,supporting,
piezoelectricity:emergent_output:d-class,polar-latch,supporting,
superconductivity:hardware_scale:coherence-length-class,gapped-condensate,core,
superconductivity:energy_barrier:spectroscopic-gap,gapped-condensate,core,
superconductivity:failure_mode:above-tc,gapped-condensate,core,
superconductivity:failure_mode:above-hc,gapped-condensate,core,
superconductivity:failure_mode:above-ic,gapped-condensate,core,
superconductivity:emergent_output:zero-resistance,gapped-condensate,core,
superconductivity:consistency_gap:pinning-and-xi,gapped-condensate,core,
meissner:hardware_scale:lambda-buffer,gapped-condensate,core,Owns λ
meissner:energy_barrier:hc-hc1,gapped-condensate,core,
meissner:failure_mode:above-hc1,gapped-condensate,core,Expulsion dies; R=0 can remain
meissner:failure_mode:above-tc,gapped-condensate,core,
meissner:failure_mode:thin-film,gapped-condensate,core,
meissner:emergent_output:perfect-diamagnetism,gapped-condensate,core,
meissner:consistency_gap:underived-expulsion,gapped-condensate,core,
josephson-effect:hardware_scale:sis-window,gapped-condensate,core,
josephson-effect:clock_latency:ac-lock,gapped-condensate,core,
josephson-effect:failure_mode:above-ic,gapped-condensate,core,
josephson-effect:failure_mode:thick-barrier,gapped-condensate,core,
josephson-effect:emergent_output:vf-lock,gapped-condensate,core,
flux-quantization:hardware_scale:closed-loop,gapped-condensate,core,
flux-quantization:emergent_output:phi0,gapped-condensate,core,
flux-quantization:failure_mode:open-loop,gapped-condensate,core,
flux-quantization:failure_mode:above-tc,gapped-condensate,core,
type-ii-critical-field:hardware_scale:kappa-line,gapped-condensate,core,
type-ii-critical-field:hardware_scale:vortex-spacing,gapped-condensate,core,
type-ii-critical-field:failure_mode:above-hc2,gapped-condensate,core,
type-ii-critical-field:failure_mode:unpinned-flux-flow,gapped-condensate,core,
type-ii-critical-field:emergent_output:phi0-lattice,gapped-condensate,core,
type-ii-critical-field:consistency_gap:pinning-mesoscale,gapped-condensate,core,
bose-einstein-condensate:hardware_scale:phase-space-density,gapped-condensate,contrast,No pairing gap
bose-einstein-condensate:energy_barrier:tc-n,gapped-condensate,contrast,Not a latch
bose-einstein-condensate:consistency_gap:family-tension,gapped-condensate,contrast,
bose-einstein-condensate:emergent_output:mode-occupation,gapped-condensate,contrast,
electron-heat-capacity:failure_mode:superconducting-gap,gapped-condensate,contrast,γT dies when the gap opens
superfluid-helium-4:hardware_scale:connected-liquid,chargeless-superflow,core,
superfluid-helium-4:energy_barrier:t-lambda,chargeless-superflow,core,
superfluid-helium-4:failure_mode:above-t-lambda,chargeless-superflow,core,
superfluid-helium-4:failure_mode:above-vc,chargeless-superflow,core,
superfluid-helium-4:emergent_output:circulation-quantum,chargeless-superflow,core,h/m4
superfluid-helium-4:emergent_output:zero-hold-power,chargeless-superflow,core,
superfluid-helium-4:consistency_gap:gapped-name-loose,chargeless-superflow,core,
bose-einstein-condensate:hardware_scale:phase-space-density,chargeless-superflow,contrast,Dilute cousin
bose-einstein-condensate:failure_mode:above-tc,chargeless-superflow,contrast,
bose-einstein-condensate:consistency_gap:family-tension,chargeless-superflow,contrast,
photoelectric-threshold:hardware_scale:single-electron,energy-gate,core,
photoelectric-threshold:energy_barrier:work-function,energy-gate,core,
photoelectric-threshold:failure_mode:under-threshold,energy-gate,core,
photoelectric-threshold:emergent_output:threshold-phi,energy-gate,core,
photoelectric-threshold:consistency_gap:underived-phi,energy-gate,core,
work-function-thermionic:hardware_scale:single-electron,energy-gate,core,
work-function-thermionic:energy_barrier:work-function,energy-gate,core,
work-function-thermionic:failure_mode:under-threshold,energy-gate,core,
work-function-thermionic:emergent_output:richardson-current,energy-gate,core,
semiconductor-gap-absorption:hardware_scale:unit-cell,energy-gate,core,
semiconductor-gap-absorption:energy_barrier:gap,energy-gate,core,
semiconductor-gap-absorption:failure_mode:under-threshold,energy-gate,core,
semiconductor-gap-absorption:emergent_output:absorption-edge,energy-gate,core,
semiconductor-gap-absorption:consistency_gap:underived-eg,energy-gate,core,
photoconductivity:hardware_scale:single-conversion,energy-gate,core,Same Eg as current
photoconductivity:energy_barrier:gap,energy-gate,core,
photoconductivity:failure_mode:under-threshold,energy-gate,core,
photoconductivity:emergent_output:delta-sigma,energy-gate,core,
ionization-threshold:hardware_scale:single-atom,energy-gate,core,
ionization-threshold:energy_barrier:ionization-energy,energy-gate,core,
ionization-threshold:failure_mode:under-threshold,energy-gate,core,
ionization-threshold:emergent_output:series-limit,energy-gate,core,
x-ray-absorption-edge:hardware_scale:single-atom,energy-gate,core,
x-ray-absorption-edge:energy_barrier:k-edge,energy-gate,core,
x-ray-absorption-edge:failure_mode:under-threshold,energy-gate,core,
x-ray-absorption-edge:emergent_output:attenuation-step,energy-gate,core,
pair-production:hardware_scale:photon-plus-nucleus,energy-gate,core,
pair-production:energy_barrier:two-mc2,energy-gate,core,
pair-production:failure_mode:under-threshold,energy-gate,core,
pair-production:failure_mode:no-recoil-partner,energy-gate,core,
pair-production:emergent_output:annihilation-line,energy-gate,core,
dielectric-breakdown:energy_barrier:field-gate,energy-gate,supporting,Messier field avalanche
dielectric-breakdown:failure_mode:under-threshold,energy-gate,supporting,
dielectric-breakdown:hardware_scale:avalanche-path,energy-gate,supporting,
dielectric-breakdown:consistency_gap:underived-ebd,energy-gate,supporting,
phonon-dispersion:hardware_scale:crystalline-grid,oscillator-grid,core,
phonon-dispersion:clock_latency:allowed-clock-table,oscillator-grid,core,ω(q)
phonon-dispersion:failure_mode:clock-ceiling,oscillator-grid,core,
phonon-dispersion:failure_mode:grid-loss,oscillator-grid,core,
phonon-dispersion:emergent_output:dispersion-surface,oscillator-grid,core,
speed-of-sound:hardware_scale:coupled-medium,oscillator-grid,core,
speed-of-sound:clock_latency:long-wave-slope,oscillator-grid,core,
speed-of-sound:failure_mode:vacuum,oscillator-grid,core,
speed-of-sound:failure_mode:no-shear-fluid,oscillator-grid,core,
speed-of-sound:emergent_output:material-vs,oscillator-grid,core,
debye-cutoff:hardware_scale:three-n-modes,oscillator-grid,core,
debye-cutoff:clock_latency:omega-d-ceiling,oscillator-grid,core,
debye-cutoff:failure_mode:no-mode-above-cutoff,oscillator-grid,core,
debye-cutoff:emergent_output:theta-d-class,oscillator-grid,core,
melting:hardware_scale:bragg-grid,oscillator-grid,core,
melting:energy_barrier:measured-tm,oscillator-grid,core,
melting:failure_mode:tm-cliff,oscillator-grid,core,
