design_key,title,summary,home_family,status,confidence,description,notes,updated
collective-screening,Collective screening engine,"A connected charged population that screens an applied field and re-radiates a macroscopic electromagnetic output. Dies by buffer starvation or by drive faster than the collective clock.",collective-field-response,formal,high,"Connected metal or polarizable volume on the order of the optical / electromagnetic screening length. Collective clock is the plasma period or the bound-charge response; hold-power beyond the incident field is zero. Failure twins: thickness / continuity cliff and ω > ωp (or the interband-shifted optical edge). Bound-charge refraction and TIR use the same n; SPR is the interface-bound mode of the same electrons. Faraday and cyclotron are magnetized readouts of the same population, not a second machine. Photoelectric is the contrast: a single-electron energy gate on the same surface, not a collective buffer.","Add a new design rather than stretching this one if a later effect needs a machine that is not a screening / re-radiation population (for example a distinct coupler-only artifact). Expand membership when a file already names the link.",2026-08-17
anisotropy-latch,Anisotropy latch,"A barrier-protected directional memory. Holding the written orientation costs zero continuous power. Dies thermally at Tc, by under-volume (KV ≲ 25 kT), or by lattice destruction.",latched-order,formal,high,"Latch cell is a crystalline (or shape) anisotropy environment with KV above the thermal-escape line. Clock is the ~28 GHz/T precession carrier; write/erase is wall motion and the hysteresis loop, not that carrier. Soft hosts lack the barrier. Sample envelope is capacity, not a second spatial cliff. Domains partition a large aligned population; walls are a measured buffer. Magnetostriction is the lattice face of the same moment, not a second latch. Curie paramagnetism is the unlocked contrast. AFM cancelled moment and exchange-bias pins hang here as supporting unless they force a separate machine.","Exchange-bias is assembled as its own design (exchange-pin) because the hardware is a nested pair and the collapse is TB of the pin, not the FM Tc.",2026-08-17
polar-latch,Polar latch,"Electrical twin of the anisotropy latch: remnant polarization at zero continuous field. Dies at the ferroelectric Tc, by coercive E, or when the polar volume is too small.",latched-order,formal,medium,"Polar well holds P at E = 0 with zero hold-power. Superparaelectric collapse is the volume twin of superparamagnetism. Ec and the depolarization field remain mesoscale. A large polar body partitions; walls are a measured nm-class buffer, and a field can expel the pattern while remanent P remains. Charged walls need screening (the electrostatic extra vs magnetism). Piezoelectricity is the strain channel of a lattice that lacks inversion, supporting this machine when the polar phase is present; 90° walls are the ferroelastic face of the partition.","Medium because Ec / depolarization are still an open mesoscale step, analogous to magnet coercivity.",2026-08-20
gapped-condensate,Gapped condensate,"A charged protected collective mode. Zero resistance and field expulsion are related artifacts of one condensate, not the same failure envelope.",gapped-coherence,formal,medium,"Parent condensate below Tc with a spectroscopic gap. Spatial scales: ξ (coherence) and λ (London screening). R = 0 can outlive complete expulsion in the type-II mixed state if vortices are pinned. Weak-link window of a few nm gives the Josephson V–ν lock at 2e/h; a closed loop holds n Φ0. Persistent current at zero continuous voltage. BEC is a contrast, not a member: no measured pairing gap and not a zero-power latch.","Medium because ξ is a class not a single number and pinning after Hc1 is unspecified. Split rule: superconductivity owns R=0; Meissner owns expulsion / λ.",2026-08-17
chargeless-superflow,Chargeless superflow,"Helium-4 superflow below Tλ: vanishing viscosity through a superleak, fountain head, persistent circulation quantized as h/m4. Analog of the charged condensate, not the same hardware.",gapped-coherence,formal,high,"Connected 4He below 2.17 K with a nonzero ρs. No charge, no London λ, no Meissner expulsion. Velocity cliff vc is geometry-dependent. Family name gapped is slightly loose: collapse is loss of ρs, not a pairing gap. Dilute BEC is a cousin (thermal/density cliff, quantized winding), not this dense strongly interacting liquid.","Do not collapse this row into gapped-condensate.",2026-08-17
energy-gate,Energy gate,"A discrete conversion that does not occur below a measured energy or field threshold. Hardware for one event is a single node. Macroscopic yield is a rate.",threshold-conversion,formal,high,"Load-bearing gate is φ, Eg, a shell binding energy, I, or 2mec². Under-threshold input is the non-occurrence of the conversion. Photoelectric and thermionic share one surface φ opened by a photon or by heat. Semiconductor absorption and photoconductivity share Eg, read as opacity or as current. Pair production also needs a momentum sink. Dielectric breakdown is a messier field-opened avalanche that uses ionization as a step; it supports this machine but is not a clean single-particle gate.","Do not identify φ with a metal’s optical plasma edge.",2026-08-17
oscillator-grid,Oscillator grid,"The ion grid as coupled mechanical oscillators. Allowed clocks are the measured ω(q). The grid stops being a grid at Tm.",lattice-modes,formal,medium,"Long-wave output is vs = √(C/ρ); no shear in a vacuum or a liquid. Finite N ⇒ 3N modes and a Debye ceiling ΘD. Heat current in insulators is a phonon-population transport spec with a mean-free-path resource. Small-strain moduli are the restoring output; yield is mesoscale. Thermal expansion requires anharmonicity. Magnetostriction and piezoelectricity are supporting couplings onto this grid (and onto the latches). Lindemann is a criterion, not a derivation of Tm.","Medium because several couplings and Tm are taken rather than derived.",2026-08-17
ensemble-average,Ensemble average,"A stable macroscopic number or spectrum that exists only as the averaged output of a large population. No universal N-cliff. Dies when the population is too small or the observation is faster than the exchange window.",ensemble-averages,formal,medium,"T, P = nkT, the Planck curve and its T⁴ integral, γT electronic heat, Brownian D = kT/γ, Nyquist 4kTRΔf, and Curie χ = C/T are one machine class: statistical average. Hardware scale is 1/√N or Kn = λ/L or a Fermi-surface slice, not a 10 nm film. Defined SI constants (k, σ) are not extracted machine numbers. Latches and gaps replace this average; they are contrast, not members.","Every first-wave mapping in this family is Medium for the missing universal N.",2026-08-17
exchange-pin,Exchange pin,"A second latch that pins the first: an AFM/FM interface that shifts the hysteresis loop and holds the shift at zero continuous power. Collapse is the blocking temperature of the pin, not the FM Curie point.",latched-order,draft,medium,"Nested hardware: AFM pin + FM film + interface. Unidirectional barrier Hex; TB ≤ TN. Loop shift is the output. This is not just a supporting clause on the anisotropy latch — the spatial buffer is the bilayer and the thermal cliff is TB. The FM latch and the AFM order are resources this machine consumes. Added as a ninth design because hanging it only as supporting hid a distinct collapse and a distinct hardware stack.","Draft until more bilayer implications exist. Do not invent a tenth design for every interface effect; add one when the collapse and the hardware are not already owned.",2026-08-17
edge-channel,Edge channel,"A gapped 2D electron buffer whose surviving transport path is an edge. Integer Hall plateaus at RK/ν are the primary output. Dies off-plateau, for in-plane B, or when kT or current overruns the Landau/mobility gap.",gapped-coherence,draft,medium,"Hardware is a 2DEG plus a perpendicular field that opens a bulk gap; current lives on the edge. Clock is ωc=eB/m (the same combination cyclotron resonance reads as a line). Output is a DC Hall plateau RH=h/νe² with Rxx→0, not a pairing condensate and not a 1D constriction. RK is taken from metrology. Fractional plateaus are out of scope. QPC is contrast: 2e²/h steps need no B. Quantum spin Hall would be a second core member if filed, not a reason to stretch this integer-QHE stack. Electron is consumed in the edge role. Not a latch; do not attach zero-hold-power.","Draft until a second core effect (QSHE/QAHE) exists. Do not swallow QPC. Do not close RK with a Chern-number story.",2026-08-17
phase-space-condensate,Phase-space condensate,"A dilute trapped cloud that macroscopically occupies one mode once the phase-space density crosses the ideal-gas line. Dies when T exceeds Tc(n) or the density drops. Not a pairing condensate and not He-4 superflow.",gapped-coherence,draft,medium,"Buffer is n λth³ ≃ 2.612, taken from the ideal-gas condition, not a nanometre film and not a universal N. Collapse is loss of condensate fraction and interference contrast. Holding the cloud needs continuous cooling and trapping; not a 0 W latch. No measured pairing gap, no London λ, no fountain or superleak. Family name gapped is the same loose assignment the BEC file already records. Contrast on gapped-condensate and chargeless-superflow stays.","Draft because 2.612 is taken and there is no second core effect. Do not attach zero-hold-power. Do not invent an alkali-atom node.",2026-08-17
landauer-channel,Landauer channel,"A ballistic 1D constriction whose occupied modes each contribute 2e²/h. Dies at pinch-off, when T smears the subbands, or when the channel is no longer ballistic. No perpendicular B is required.",gapped-coherence,draft,medium,"Hardware is a short constriction of width ~λF in a 2DEG reservoir, L shorter than the mfp. Output is two-terminal G = n×2e²/h, taken from Landauer/metrology. Not an edge of a gapped 2D bulk and not a Hall plateau. Electron is consumed as a 1D mode population, not as edge and not as N=1 photoelectric. The 0.7 structure is out of scope.","Draft because one constriction file. Do not use the edge role. Do not equate 2e²/h with RK.",2026-08-17
